,url,count
912,www.securityfocus.com,6527
913,www.securitytracker.com,3953
437,lists.opensuse.org,3434
561,rhn.redhat.com,1756
866,www.openwall.com,1618
868,www.oracle.com,1581
302,github.com,1480
596,security.gentoo.org,1379
956,www.ubuntu.com,1350
638,support.apple.com,1082
763,www.debian.org,1074
9,access.redhat.com,983
623,source.android.com,804
419,lists.apple.com,731
208,docs.microsoft.com,648
124,bugzilla.redhat.com,603
428,lists.fedoraproject.org,563
778,www.exploit-db.com,554
720,www-01.ibm.com,542
329,helpx.adobe.com,541
505,packetstormsecurity.com,450
418,lists.apache.org,445
320,h20566.www2.hpe.com,400
675,tools.cisco.com,363
582,seclists.org,354
806,www.ibm.com,348
978,www.zerodayinitiative.com,309
120,bugzilla.mozilla.org,303
347,ics-cert.us-cert.gov,260
378,jvn.jp,243
839,www.mozilla.org,240
18,android.googlesource.com,232
165,crbug.com,226
425,lists.debian.org,216
486,nodesecurity.io,184
820,www.kb.cert.org,183
717,wordpress.org,176
379,jvndb.jvn.jp,167
946,www.tenable.com,159
310,googlechromereleases.blogspot.com,156
149,codereview.chromium.org,152
285,git.kernel.org,146
599,security.netapp.com,145
239,exchange.xforce.ibmcloud.com,132
804,www.huawei.com,129
695,usn.ubuntu.com,126
944,www.talosintelligence.com,124
461,mariadb.com,112
77,blogs.gentoo.org,104
214,documentation.cpanel.net,94
0,Other,6164
